recipe_title,ingredients
Bar au four,"['tomate', 'oignon', 'herbes', 'huile', 'sel', 'poivre', 'poisson', 'citron', 'herbes', 'alcool']"
Gratin de pâtes moelleux,"['porc', 'crème', 'fromage', 'poivre', 'sel', 'tomate', 'pâtes']"
Lotte à l'Armoricaine,"['oignon', 'alcool', 'beurre', 'huile', 'piment', 'sel', 'poivre', 'poisson', 'tomate', 'tomate', 'oignon', 'ail', 'alcool']"
Colombo de poulet,"[ 'épices', 'oignon', 'ail', 'épices', 'oignon', 'aubergine', 'courgette', 'herbes', 'herbes', 'piment', 'poivre', 'sel', 'poulet', 'ail', 'patates', 'épices', 'citron', 'lait']"
Tomates farcies facile,"['tomate', 'oignon', 'herbes', 'herbes', 'beurre', 'poivre', 'sel', 'saucisse', 'ail']"
Steak tartare,"['moutarde', 'oignon', 'piment', 'poivre', 'sel', 'huile', 'herbes', 'boeufs', 'oeufs', 'ketchup']"
Petit salé aux lentilles,"['saucisse', 'carotte', 'oignon', 'champignon', 'poivre', 'sel', 'porc', 'lentilles', 'herbes']"
Pad Thai,"['huile', 'sel', 'vinaigre', 'sucre', 'piment', 'oignon', 'pâtes', 'herbes', 'poulet', 'piment', 'oeufs', 'ail', 'sauce chinoise', 'arachide', 'soja', 'herbes']"
Crevettes à l'ail,"['piment', 'herbes', 'huile', 'poivre', 'sel', 'crevettes', 'ail']"
Poulet épices et oignon facile,"['oignon', 'épices', 'épices', 'piment', 'poivre', 'sel', 'poulet', 'crème allégée']"
Les vrais quenelles natures lyonnaises,"['beurre', 'farine', 'fromage', 'épices', 'oeufs', 'eau']"
Saucisses au chou vert,"['porc', 'huile', 'herbes', 'oignon', 'chou', 'saucisse', 'porc', 'oignon']"
Omelette nature,"['poivre', 'beurre', 'sel', 'oeufs']"
Fajitas au poulet,"['poivron', 'poivron', 'oignon', 'crème', 'huile', 'piment', 'épices', 'sel', 'poivre', 'poulet', 'ail', 'pain', 'citron']"
Fondue bourguignonne et sauces d'accompagnement,"['sel', 'huile', 'poivre', 'tomate', 'noix', 'crème', 'herbes', 'herbes', 'herbes', 'cornichons', 'ail', 'câpres', 'céleri', 'mayonnaise', 'citron', 'poisson', 'olives', 'boeufs']"
oeufs brouillés nature,"['beurre', 'poivre', 'sel', 'oeufs', 'lait']"
Nouilles chinoises aux légumes et aux épices,"['oignon', 'poireau', 'carotte', 'courgettes', 'poivron', 'huile', '', 'pâtes', 'épices', 'sauce chinoise']"
Falafel (csalades de pois),"['pois', 'oignon', 'herbes', 'farine', 'épices', 'épices', 'sel', 'huile', 'fèves', 'ail', 'piment', 'herbes']"
Spaghetti bolognaise,"['oignon', 'carotte', 'tomate', 'alcool', 'bouillon', 'herbes', 'sucre', 'huile', 'pâtes', 'ail', 'céleri', 'boeufs']"
Pâtes fraîches,"['farine', 'farine', 'sel', 'oeufs']"
pâtes au saumon et aux épinards,"['pâtes', 'poivre', 'sel', 'saumon', 'épinards', 'fromage', 'crème']"
boeufs carotte facile,"['oignon', 'carotte', 'poivre', 'sel', 'ail semoule', 'beurre', 'bouillon', 'paleron', 'tomate', 'alcool']"
Tacos mexicains,"['tomate', 'haricots', 'poivron', 'épices', 'poivre', 'sel', 'piment', 'pain', 'oignon', 'tomate', 'boeufs', 'salade']"
Filet de poisson crème et moutarde,"['moutarde', 'herbes', 'huile', 'sel', 'poivre', 'tomate', 'poisson', 'crème', 'herbes']"
Poulet à la crème et,"['oignon', 'crème', 'farine', 'herbes', 'poulet', 'ail', 'champignon', 'bouillon']"
poulet marinée au four,"['moutarde', 'sel', 'poulet', 'herbes', 'ail', 'miel', 'huile', 'poivre', 'sauce chinoise']"
Tartiflette facile,"['fromage', 'oignon', 'sel', 'poivre', 'patates', 'alcool', 'crème', 'porc']"
Vol-au-vent aux poulet,"['beurre', 'farine', 'bouillon', 'crème', 'poivre', 'sel', 'riz', 'poulet', 'champignon', 'bouchées feuilletées', 'citron']"
Choux farcis,"['riz', 'herbes', 'huile', 'chou', 'saucisse', 'oignon', 'ail', 'porc']"
Cordon bleu,"['beurre', 'farine', 'poulet', 'porc', 'pain', 'pain', 'oeufs']"
pâtes à la bolognaise très facile,"['pâtes à pâtes', 'sauce bolognaise', 'oignon', 'fromage', 'boeufs', 'beurre', 'farine', 'lait']"
